"编号","题库","来源","中文提示","Romaji","平假名答案"
"83","Script 高频","W3 Script","诗人","shijin","しじん"
"84","Script 高频","W3 Script","丈夫","shujin","しゅじん"
"85","Script 高频","W3 Script","囚犯","shuujin","しゅうじん"
"86","Script 高频","W3/W4 Script","一百","hyaku","ひゃく"
"87","Script 高频","W3/W4 Script","自行车","jitensha","じてんしゃ"
"88","Script 高频","W3/W4 Script","钟表；手表","tokee","とけい"
"89","Script 高频","W3/W4 Script","父亲（别人的／称呼）","otoosan","おとうさん"
"90","Script 高频","W3/W4 Script","请；给你","doozo","どうぞ"
"91","Script 高频","W3 Script","帽子","booshi","ぼうし"
"92","Script 高频","W3/W4 Script","三百","sanbyaku","さんびゃく"
"93","Script 高频","W3/W4 Script title","有精神；《Genki》教材名","genki","げんき"
"94","对话与课内词汇","W1 Communication","早上好（礼貌）","ohayoo gozaimasu","おはようございます"
"95","对话与课内词汇","W1 Communication","你好；下午好","konnichiwa","こんにちは"
"96","对话与课内词汇","W1 Communication","晚上好","konbanwa","こんばんは"
"97","对话与课内词汇","W1 Communication","非常感谢","arigatoo gozaimasu","ありがとうございます"
"98","对话与课内词汇","W1 Communication","不；不用谢","iie","いいえ"
"99","对话与课内词汇","W1/W4 Communication","不好意思；劳驾","sumimasen","すみません"
"100","对话与课内词汇","W1 Communication","晚安","oyasuminasai","おやすみなさい"
"101","对话与课内词汇","W1/W2 Communication","初次见面","hajimemashite","はじめまして"
"102","对话与课内词汇","W1/W2 Communication","请多关照","yoroshiku onegaishimasu","よろしくおねがいします"
"103","对话与课内词汇","W1/W2 Communication","电话号码","denwa bangoo","でんわばんごう"
"104","对话与课内词汇","W1 Communication","几号；什么号码","nanban","なんばん"
"105","对话与课内词汇","W1 Communication","点钟（时间后缀）","ji","じ"
"106","对话与课内词汇","W1 Communication","半；半点","han","はん"
"107","对话与课内词汇","W1 Communication","几点","nanji","なんじ"
"108","对话与课内词汇","W1 Communication","岁（年龄后缀）","sai","さい"
"109","对话与课内词汇","W1 Communication","几岁","nansai","なんさい"
"110","对话与课内词汇","W1 Communication","二十岁","hatachi","はたち"
"111","对话与课内词汇","W2 Communication","大学生","daigakusee","だいがくせい"
"112","对话与课内词汇","W2 Communication","研究生","daigakuinsee","だいがくいんせい"
"113","对话与课内词汇","W2/W4 Communication","是的；对的","soo desu","そうです"
"114","对话与课内词汇","W2/W4 Communication","是吗；原来如此","soo desu ka","そうですか"
"115","对话与课内词汇","W2 Communication","几年级学生","nannensee","なんねんせい"
"116","对话与课内词汇","W2 Communication","二年级学生","ninensee","にねんせい"
"117","对话与课内词汇","W2 Communication","三年级学生","sannensee","さんねんせい"
"118","对话与课内词汇","W2 Communication","四年级学生","yonensee","よねんせい"
"119","对话与课内词汇","W2/W4 Communication","经济（学）","keezai","けいざい"
"120","对话与课内词汇","W2 Communication","那个；嗯／打扰一下","ano","あの"
"121","对话与课内词汇","W3/W4 Communication","购物","kaimono","かいもの"
"122","对话与课内词汇","W3 Communication","多少钱","ikura","いくら"
"123","对话与课内词汇","W3 Communication","日元","en","えん"
"124","对话与课内词汇","W3/W4 Communication","这个","kore","これ"
"125","对话与课内词汇","W3/W4 Communication","那个（靠近听者）","sore","それ"
"126","对话与课内词汇","W3/W4 Communication","那个（离双方都远）","are","あれ"
"127","对话与课内词汇","W3 Communication","哪一个","dore","どれ"
"128","对话与课内词汇","W3 Communication","这个……","kono","この"
"129","对话与课内词汇","W3 Communication","那个……（靠近听者）","sono","その"
"130","对话与课内词汇","W3 Communication","哪个……","dono","どの"
"131","对话与课内词汇","W3 Communication","那里（靠近听者）","soko","そこ"
"132","对话与课内词汇","W3 Communication","那里（离双方都远）","asoko","あそこ"
"133","对话与课内词汇","W3/W4 Communication","哪里","doko","どこ"
"134","对话与课内词汇","W3 Communication","哪里的……","doko no","どこの"
"135","对话与课内词汇","W3 Communication","谁","dare","だれ"
"136","对话与课内词汇","W3 Script","银行","ginkoo","ぎんこう"
"137","对话与课内词汇","W3 Script","伞","kasa","かさ"
"138","对话与课内词汇","W3/W4 Script","书","hon","ほん"
"139","对话与课内词汇","W4 Communication","鱼","sakana","さかな"
"140","对话与课内词汇","W4 Communication","肉","niku","にく"
"141","对话与课内词汇","W4 Communication","蔬菜","yasai","やさい"
"142","对话与课内词汇","W4 Communication","报纸","shinbun","しんぶん"
"143","对话与课内词汇","W4 Communication","中文；汉语","chuugokugo","ちゅうごくご"
"144","对话与课内词汇","W4 Communication","剪刀","hasami","はさみ"
"145","对话与课内词汇","W4 Communication","炸猪排","tonkatsu","とんかつ"
"146","对话与课内词汇","W4 Communication","寿司（礼貌说法）","osushi","おすし"
"147","对话与课内词汇","W4 Communication","章鱼烧","takoyaki","たこやき"
"148","对话与课内词汇","W4 Communication","纳豆","nattoo","なっとう"
"149","对话与课内词汇","W4 Communication","不是……","janai desu","じゃないです"
"150","对话与课内词汇","W4 Script/Communication","不是……（礼貌）","ja arimasen","じゃありません"
"151","对话与课内词汇","W4 Script","不是……（较正式）","dewa arimasen","ではありません"
"152","对话与课内词汇","W4 Communication","嗯；打扰一下","anoo","あのう"
"153","对话与课内词汇","W4 Communication","啊；原来如此","aa","ああ"
"154","对话与课内词汇","W4 Communication","那么；那就","jaa","じゃあ"
"155","对话与课内词汇","W4 Communication","拜托了；请给我","onegaishimasu","おねがいします"
"156","对话与课内词汇","W4 Communication","请给我这个","kore o onegaishimasu","これをおねがいします"
"157","对话与课内词汇","W3/W4 Dialogue audio","请给我这个","kore o kudasai","これをください"
"158","对话与课内词汇","W3/W4 Dialogue audio","请给我……","kudasai","ください"
"159","对话与课内词汇","W3 Dialogue audio","有点；稍微","chotto","ちょっと"
"160","对话与课内词汇","W4 Communication menu","套餐；定食","teeshoku","ていしょく"
"161","对话与课内词汇","W4 Communication menu","荞麦面","soba","そば"
"162","对话与课内词汇","W4 Communication menu","乌冬面","udon","うどん"
"163","对话与课内词汇","W4 Communication menu","红茶","koocha","こうちゃ"
"164","对话与课内词汇","W4 Script","东京","tookyoo","とうきょう"
"165","补全假名的常见词","补充：基础46音","狗；补 ぬ","inu","いぬ"
"166","补全假名的常见词","补充：基础46音","房间；补 へ","heya","へや"
"167","补全假名的常见词","补充：基础46音","虫；补 む","mushi","むし"
"168","补全假名的常见词","补充：基础46音","车；补 る","kuruma","くるま"
"169","补全假名的常见词","补充：浊音","杂志；补 ざ","zasshi","ざっし"
"170","补全假名的常见词","补充：浊音","状况；身体情况；补 ぐ","guai","ぐあい"
"171","补全假名的常见词","补充：浊音","水；补 ず","mizu","みず"
"172","补全假名的常见词","补充：浊音","鼻血；补较少见的 ぢ","hanaji","はなぢ"
"173","补全假名的常见词","补充：浊音","继续；补较少见的 づ","tsuzuku","つづく"
"174","补全假名的常见词","补充：半浊音","啪啪声；补 ぱ","pachipachi","ぱちぱち"
"175","补全假名的常见词","补充：半浊音","闪闪发亮；补 ぴ","pikapika","ぴかぴか"
"176","补全假名的常见词","补充：半浊音","轻轻漂浮；补 ぷ","pukapuka","ぷかぷか"
"177","补全假名的常见词","补充：半浊音","肚子很饿／连连鞠躬；补 ぺ","pekopeko","ぺこぺこ"
"178","补全假名的常见词","补充：半浊音","暖洋洋；补 ぽ","pokapoka","ぽかぽか"
"179","数字、时间与年龄","W1 Script/Communication","数字 0（rei 读法）","rei","れい"
"180","数字、时间与年龄","W1 Script/Communication","数字 0（zero 读法）","zero","ぜろ"
"181","数字、时间与年龄","W1 Script/Communication","数字 1","ichi","いち"
"182","数字、时间与年龄","W1 Script/Communication","数字 2","ni","に"
"183","数字、时间与年龄","W1 Script/Communication","数字 3","san","さん"
"184","数字、时间与年龄","W1 Script/Communication","数字 4（常用读法）","yon","よん"
"185","数字、时间与年龄","W1 Script/Communication","数字 4（另一读法）","shi","し"
"186","数字、时间与年龄","W1 Script/Communication","数字 5","go","ご"
"187","数字、时间与年龄","W1 Script/Communication","数字 6","roku","ろく"
"188","数字、时间与年龄","W1 Script/Communication","数字 7（常用读法）","nana","なな"
"189","数字、时间与年龄","W1 Script/Communication","数字 7（另一读法）","shichi","しち"
"190","数字、时间与年龄","W1 Script/Communication","数字 8","hachi","はち"
"191","数字、时间与年龄","W1 Script/Communication","数字 9（常用读法）","kyuu","きゅう"
"192","数字、时间与年龄","W1 Script/Communication","数字 9（另一读法）","ku","く"
"193","数字、时间与年龄","W1 Script/Communication","数字 10","juu","じゅう"
"194","数字、时间与年龄","W1 Script/Communication","数字 11","juuichi","じゅういち"
"195","数字、时间与年龄","W1 Script/Communication","数字 12","juuni","じゅうに"
"196","数字、时间与年龄","W1 Script/Communication","数字 13","juusan","じゅうさん"
"197","数字、时间与年龄","W1 Script/Communication","数字 14","juuyon","じゅうよん"
"198","数字、时间与年龄","W1 Script/Communication","数字 15","juugo","じゅうご"
"199","数字、时间与年龄","W1 Script/Communication","数字 16","juuroku","じゅうろく"
"200","数字、时间与年龄","W1 Script/Communication","数字 17","juunana","じゅうなな"
"201","数字、时间与年龄","W1 Script/Communication","数字 18","juuhachi","じゅうはち"
"202","数字、时间与年龄","W1 Script/Communication","数字 19","juukyuu","じゅうきゅう"
"203","数字、时间与年龄","W1/W2 Script/Communication","数字 20","nijuu","にじゅう"
"204","数字、时间与年龄","W2 Script","数字 30","sanjuu","さんじゅう"
"205","数字、时间与年龄","W2 Script","数字 40","yonjuu","よんじゅう"
"206","数字、时间与年龄","W2 Script","数字 50","gojuu","ごじゅう"
"207","数字、时间与年龄","W2 Script","数字 60","rokujuu","ろくじゅう"
"208","数字、时间与年龄","W2 Script","数字 70","nanajuu","ななじゅう"
"209","数字、时间与年龄","W2 Script","数字 80","hachijuu","はちじゅう"
"210","数字、时间与年龄","W2 Script","数字 90","kyuujuu","きゅうじゅう"
"211","数字、时间与年龄","W2/W3 Script/Communication","数字 100","hyaku","ひゃく"
"212","数字、时间与年龄","W3 Script/Communication","数字 200","nihyaku","にひゃく"
"213","数字、时间与年龄","W3 Script/Communication","数字 300","sanbyaku","さんびゃく"
"214","数字、时间与年龄","W3 Communication","数字 400","yonhyaku","よんひゃく"
"215","数字、时间与年龄","W3 Communication","数字 500","gohyaku","ごひゃく"
"216","数字、时间与年龄","W3/W4 Script/Communication","数字 600","roppyaku","ろっぴゃく"
"217","数字、时间与年龄","W3 Communication","数字 700","nanahyaku","ななひゃく"
"218","数字、时间与年龄","W3 Script/Communication","数字 800","happyaku","はっぴゃく"
"219","数字、时间与年龄","W3 Script/Communication","数字 900","kyuuhyaku","きゅうひゃく"
"220","数字、时间与年龄","W3 Script/Communication","数字 1,000","sen","せん"
"221","数字、时间与年龄","W3 Script/Communication","数字 2,000","nisen","にせん"
"222","数字、时间与年龄","W3 Script/Communication","数字 3,000","sanzen","さんぜん"
"223","数字、时间与年龄","W3 Communication","数字 4,000","yonsen","よんせん"
"224","数字、时间与年龄","W3 Communication","数字 5,000","gosen","ごせん"
"225","数字、时间与年龄","W3 Script/Communication","数字 6,000","rokusen","ろくせん"
"226","数字、时间与年龄","W3 Communication","数字 7,000","nanasen","ななせん"
"227","数字、时间与年龄","W3 Script/Communication","数字 8,000","hassen","はっせん"
"228","数字、时间与年龄","W3 Script/Communication","数字 9,000","kyuusen","きゅうせん"
"229","数字、时间与年龄","W3 Script/Communication","数字 10,000","ichiman","いちまん"
"230","数字、时间与年龄","W1 Communication","4 点（特殊读法）","yoji","よじ"
"231","数字、时间与年龄","W1 Communication","7 点","shichiji","しちじ"
"232","数字、时间与年龄","W1 Communication","9 点（特殊读法）","kuji","くじ"
"233","数字、时间与年龄","W1 Communication","18 岁","juuhassai","じゅうはっさい"
"234","数字、时间与年龄","W1 Communication","19 岁","juukyuusai","じゅうきゅうさい"
"235","数字、时间与年龄","W1 Communication","20 岁（特殊说法）","hatachi","はたち"
"236","数字、时间与年龄","W1 Communication","21 岁","nijuuissai","にじゅういっさい"
"237","数字、时间与年龄","W1 Communication","22 岁","nijuunisai","にじゅうにさい"
"238","句子听写","W1 Communication","早上好（礼貌）","ohayoo gozaimasu","おはようございます。"
"239","句子听写","W1 Communication","你好；下午好","konnichiwa","こんにちは。"
"240","句子听写","W1 Communication","晚上好","konbanwa","こんばんは。"
"241","句子听写","W1 Communication","非常感谢","arigatoo gozaimasu","ありがとうございます。"
"242","句子听写","W1/W2 Communication","初次见面","hajimemashite","はじめまして。"
"243","句子听写","W1/W2 Communication","请多关照","yoroshiku onegaishimasu","よろしくおねがいします。"
"244","句子听写","W1 Communication","电话号码是多少？","denwa bangoo wa nanban desu ka","でんわばんごうはなんばんですか。"
"245","句子听写","W1 Communication","现在几点？","ima, nanji desu ka","いま、なんじですか。"
"246","句子听写","W1 Communication","三点。","sanji desu","さんじです。"
"247","句子听写","W1 Communication","几岁？","nansai desu ka","なんさいですか。"
"248","句子听写","W2 Script","我是学生。","watashi wa gakusee desu","わたしはがくせいです。"
"249","句子听写","W2 Script","是日语吗？","nihongo desu ka","にほんごですか。"
"250","句子听写","W2 Script","是朋友的电话。","tomodachi no denwa desu","ともだちのでんわです。"
"251","句子听写","W2 Script","我是木村武。","kimura takeshi desu","きむらたけしです。"
"252","句子听写","W2 Script","是日本人。","nihonjin desu","にほんじんです。"
"253","句子听写","W2 Script","是日本人吗？","nihonjin desu ka","にほんじんですか。"
"254","句子听写","W2 Script","是的，是日本人。","hai, nihonjin desu","はい、にほんじんです。"
"255","句子听写","W2 Script","下午四点。","gogo yoji desu","ごごよじです。"
"256","句子听写","W2 Communication","武是学生吗？","takeshi san wa gakusee desu ka","たけしさんはがくせいですか。"
"257","句子听写","W2 Communication","是的，没错。","hai, soo desu","はい、そうです。"
"258","句子听写","W2 Communication","不，是学生。","iie, gakusee desu","いいえ、がくせいです。"
"259","句子听写","W2 Communication","武是几年级学生？","takeshi san wa nannensee desu ka","たけしさんはなんねんせいですか。"
"260","句子听写","W2 Communication","是四年级学生。","yonensee desu","よねんせいです。"
"261","句子听写","W2 Communication","你的专业是什么？","senkoo wa nan desu ka","せんこうはなんですか。"
"262","句子听写","W2 Communication","是历史。","rekishi desu","れきしです。"
"263","句子听写","W2 Communication","我是三年级学生。","watashi wa sannensee desu","わたしはさんねんせいです。"
"264","句子听写","W2 Communication","是吗？你的专业是什么？","soo desu ka. senkoo wa nan desu ka","そうですか。せんこうはなんですか。"
"265","句子听写","W2 Communication","是经济学。","keezai desu","けいざいです。"
"266","句子听写","W3 Script","是学生吗？","gakusee desu ka","がくせいですか。"
"267","句子听写","W3 Script","这个多少钱？","kore wa ikura desu ka","これはいくらですか。"
"268","句子听写","W3 Script","这块表多少钱？","kono tokee wa ikura desu ka","このとけいはいくらですか。"
"269","句子听写","W3 Script","是哪块表？","dono tokee desu ka","どのとけいですか。"
"270","句子听写","W3 Script","银行在哪里？","ginkoo wa doko desu ka","ぎんこうはどこですか。"
"271","句子听写","W3 Script","在那里。","asoko desu","あそこです。"
"272","句子听写","W3 Script","是谁的伞？","dare no kasa desu ka","だれのかさですか。"
"273","句子听写","W3 Script","是武的伞。","takeshi san no kasa desu","たけしさんのかさです。"
"274","句子听写","W3 Script","图书馆在哪里？","toshokan wa doko desu ka","としょかんはどこですか。"
"275","句子听写","W3 Script","这把伞多少钱？","kono kasa wa ikura desu ka","このかさはいくらですか。"
"276","句子听写","W3 Script","这是谁的书？","kore wa dare no hon desu ka","これはだれのほんですか。"
"277","句子听写","W3 Script","那是老师的书。","sore wa sensee no hon desu yo","それはせんせいのほんですよ。"
"278","句子听写","W3 Communication","手表多少钱？","tokee wa ikura desu ka","とけいはいくらですか。"
"279","句子听写","W3 Communication","八百日元。","happyaku en desu","はっぴゃくえんです。"
"280","句子听写","W4 Script","不是我的电话。","watashi no denwa ja arimasen","わたしのでんわじゃありません。"
"281","句子听写","W4 Script","这本书是一千日元，对吧？","kono hon wa sen en desu ne","このほんはせんえんですね。"
"282","句子听写","W4 Script","你的专业是历史，对吧？","senkoo wa rekishi desu ne","せんこうはれきしですね。"
"283","句子听写","W4 Script","那个是什么？","sore, nan desu ka","それ、なんですか。"
"284","句子听写","W4 Script","是这个吗？","kore desu ka","これですか。"
"285","句子听写","W4 Script","是鱼哦。","sakana desu yo","さかなですよ。"
"286","句子听写","W4 Script","是中文，对吧？","chuugokugo desu ne","ちゅうごくごですね。"
"287","句子听写","W4 Script","不是中文。","chuugokugo ja nai desu","ちゅうごくごじゃないです。"
"288","句子听写","W4 Script","是日语哦。","nihongo desu yo","にほんごですよ。"
"289","句子听写","W4 Script","东京现在是五点，对吧？","tookyoo wa, ima goji desu ne","とうきょうは、いまごじですね。"
"290","句子听写","W4 Script","不，不是五点。","iie, goji ja nai desu","いいえ、ごじじゃないです。"
"291","句子听写","W4 Script","是四点哦。","yoji desu yo","よじですよ。"
"292","句子听写","W4 Script","请问，邮局在哪里？","sumimasen. yuubinkyoku wa doko desu ka","すみません。ゆうびんきょくはどこですか。"
"293","句子听写","W4 Script","你的专业是经济学，对吧？","senkoo wa keezai desu ne","せんこうはけいざいですね。"
"294","句子听写","W4 Script","这是肉。","kore wa niku desu","これはにくです。"
"295","句子听写","W4 Script","那个也是肉。","are mo niku desu","あれもにくです。"
"296","句子听写","W4 Script","这不是手表，对吧？","kore wa tokee ja arimasen ne","これはとけいじゃありませんね。"
"297","句子听写","W4 Communication","道子是学生吗？","michiko san wa gakusee desu ka","みちこさんはがくせいですか。"
"298","句子听写","W4 Communication","是吗？我也是学生。","soo desu ka. watashi mo gakusee desu","そうですか。わたしもがくせいです。"
"299","句子听写","W4 Communication","是哪所大学？","doko no daigaku desu ka","どこのだいがくですか。"
"300","句子听写","W4 Communication","那个，不好意思。","anoo, sumimasen","あのう、すみません。"
"301","句子听写","W4 Communication","那个是什么？","sore wa nan desu ka","それはなんですか。"
"302","句子听写","W4 Communication","这是剪刀。","kore wa hasami desu","これははさみです。"
"303","句子听写","W4 Communication","这个是什么？","kore wa nan desu ka","これはなんですか。"
"304","句子听写","W4 Communication","那是炸猪排。","sore wa tonkatsu desu","それはとんかつです。"
"305","句子听写","W4 Communication","是鱼吗？","sakana desu ka","さかなですか。"
"306","句子听写","W4 Communication","不，不是鱼。","iie, sakana ja nai desu","いいえ、さかなじゃないです。"
"307","句子听写","W4 Communication","是肉。","niku desu","にくです。"
"308","句子听写","W4 Communication","那是寿司。","sore wa osushi desu","それはおすしです。"
"309","句子听写","W4 Communication","那是章鱼烧。","sore wa takoyaki desu","それはたこやきです。"
"310","句子听写","W4 Communication","那是纳豆。","sore wa nattoo desu","それはなっとうです。"
"311","句子听写","W4 Communication","好吃吗？","oishii desu ka","おいしいですか。"
"312","句子听写","W4 Communication","是的，很好吃哦。","hai, oishii desu yo","はい、おいしいですよ。"
"313","句子听写","W4 Communication","那么，请给我这个。","jaa, kore o onegaishimasu","じゃあ、これをおねがいします。"
